t /s	T /°C	HF /mw
16.130	150.071	-0.997
16.138	150.155	-0.997
16.146	150.238	-0.996
16.155	150.321	-0.996
16.163	150.405	-0.995
16.171	150.489	-0.995
16.180	150.572	-0.995
16.188	150.655	-0.994
16.196	150.738	-0.994
16.205	150.821	-0.994
16.213	150.905	-0.993
16.221	150.989	-0.993
16.230	151.072	-0.993
16.238	151.155	-0.992
16.246	151.238	-0.992
16.255	151.321	-0.991
16.263	151.405	-0.991
16.271	151.488	-0.991
16.280	151.572	-0.990
16.288	151.655	-0.990
16.296	151.738	-0.990
16.305	151.822	-0.989
16.313	151.905	-0.989
16.321	151.988	-0.989
16.330	152.072	-0.988
16.338	152.155	-0.988
16.346	152.238	-0.987
16.355	152.322	-0.987
16.363	152.405	-0.987
16.371	152.489	-0.986
16.380	152.572	-0.986
16.388	152.655	-0.986
16.396	152.739	-0.985
16.405	152.821	-0.985
16.413	152.906	-0.984
16.421	152.989	-0.984
16.430	153.072	-0.984
16.438	153.155	-0.983
16.446	153.238	-0.983
16.455	153.322	-0.983
16.463	153.405	-0.982
16.471	153.489	-0.982
16.480	153.572	-0.982
16.488	153.655	-0.981
16.496	153.739	-0.981
16.505	153.822	-0.980
16.513	153.905	-0.980
16.521	153.989	-0.980
16.530	154.072	-0.979
16.538	154.155	-0.979
16.546	154.239	-0.979
16.555	154.322	-0.978
16.563	154.405	-0.978
16.571	154.489	-0.978
16.580	154.572	-0.977
16.588	154.655	-0.977
16.596	154.739	-0.977
16.605	154.823	-0.976
16.613	154.905	-0.976
16.621	154.989	-0.976
16.630	155.072	-0.975
16.638	155.155	-0.975
16.646	155.239	-0.975
16.655	155.322	-0.974
16.663	155.406	-0.974
16.671	155.489	-0.974
16.680	155.573	-0.973
16.688	155.656	-0.973
16.696	155.739	-0.973
16.705	155.822	-0.972
16.713	155.906	-0.972
16.721	155.989	-0.972
16.730	156.072	-0.971
16.738	156.155	-0.971
16.746	156.239	-0.971
16.755	156.323	-0.970
16.763	156.405	-0.970
16.771	156.489	-0.970
16.780	156.572	-0.969
16.788	156.655	-0.969
16.796	156.739	-0.969
16.805	156.822	-0.968
16.813	156.906	-0.968
16.821	156.989	-0.968
16.830	157.072	-0.967
16.838	157.156	-0.967
16.846	157.239	-0.967
16.855	157.322	-0.966
16.863	157.406	-0.966
16.871	157.489	-0.966
16.880	157.572	-0.965
16.888	157.656	-0.965
16.896	157.739	-0.965
16.905	157.823	-0.964
16.913	157.906	-0.964
16.921	157.989	-0.964
16.930	158.073	-0.963
16.938	158.155	-0.963
16.946	158.239	-0.963
16.955	158.322	-0.962
16.963	158.406	-0.962
16.971	158.490	-0.962
16.980	158.572	-0.961
16.988	158.656	-0.961
16.996	158.739	-0.961
17.005	158.822	-0.960
17.013	158.906	-0.960
17.021	158.989	-0.960
17.030	159.072	-0.959
17.038	159.155	-0.959
17.046	159.239	-0.959
17.055	159.322	-0.958
17.063	159.405	-0.958
17.071	159.489	-0.958
17.080	159.572	-0.957
17.088	159.655	-0.957
17.096	159.739	-0.957
17.105	159.822	-0.957
17.113	159.905	-0.956
17.121	159.988	-0.956
17.130	160.072	-0.956
17.138	160.155	-0.955
17.146	160.239	-0.955
17.155	160.322	-0.955
17.163	160.405	-0.955
17.171	160.489	-0.954
17.180	160.572	-0.954
17.188	160.655	-0.954
17.196	160.738	-0.954
17.205	160.822	-0.953
17.213	160.906	-0.953
17.221	160.989	-0.953
17.230	161.072	-0.953
17.238	161.155	-0.952
17.246	161.238	-0.952
17.255	161.322	-0.952
17.263	161.405	-0.951
17.271	161.489	-0.951
17.280	161.572	-0.951
17.288	161.656	-0.950
17.296	161.739	-0.950
17.305	161.822	-0.950
17.313	161.905	-0.949
17.321	161.989	-0.949
17.330	162.072	-0.949
17.338	162.155	-0.948
17.346	162.239	-0.948
17.355	162.322	-0.948
17.363	162.406	-0.947
17.371	162.489	-0.947
17.380	162.573	-0.947
17.388	162.656	-0.947
17.396	162.739	-0.946
17.405	162.822	-0.946
17.413	162.904	-0.946
17.421	162.988	-0.945
17.430	163.072	-0.945
17.438	163.156	-0.945
17.446	163.239	-0.945
17.455	163.322	-0.944
17.463	163.405	-0.944
17.471	163.489	-0.944
17.480	163.572	-0.944
17.488	163.656	-0.943
17.496	163.739	-0.943
17.505	163.822	-0.943
17.513	163.906	-0.943
17.521	163.989	-0.943
17.530	164.071	-0.943
17.538	164.155	-0.942
17.546	164.238	-0.942
17.555	164.321	-0.942
17.563	164.405	-0.942
17.571	164.488	-0.942
17.580	164.572	-0.942
17.588	164.655	-0.942
17.596	164.738	-0.941
17.605	164.822	-0.941
17.613	164.905	-0.941
17.621	164.989	-0.941
17.630	165.072	-0.941
17.638	165.155	-0.941
17.646	165.238	-0.941
17.655	165.321	-0.941
17.663	165.405	-0.940
17.671	165.488	-0.940
17.680	165.572	-0.940
17.688	165.655	-0.940
17.696	165.738	-0.940
17.705	165.822	-0.940
17.713	165.905	-0.940
17.721	165.988	-0.940
17.730	166.071	-0.939
17.738	166.155	-0.939
17.746	166.238	-0.939
17.755	166.322	-0.939
17.763	166.405	-0.939
17.771	166.488	-0.939
17.780	166.572	-0.939
17.788	166.655	-0.939
17.796	166.738	-0.939
17.805	166.821	-0.939
17.813	166.905	-0.939
17.821	166.988	-0.939
17.830	167.072	-0.939
17.838	167.155	-0.939
17.846	167.237	-0.938
17.855	167.322	-0.938
17.863	167.405	-0.938
17.871	167.489	-0.938
17.880	167.572	-0.938
17.888	167.656	-0.938
17.896	167.739	-0.938
17.905	167.822	-0.938
17.913	167.905	-0.938
17.921	167.988	-0.938
17.930	168.072	-0.938
17.938	168.155	-0.938
17.946	168.239	-0.938
17.955	168.322	-0.937
17.963	168.405	-0.937
17.971	168.488	-0.937
17.980	168.572	-0.937
17.988	168.656	-0.937
17.996	168.739	-0.937
18.005	168.822	-0.937
18.013	168.906	-0.937
18.021	168.989	-0.937
18.030	169.072	-0.937
18.038	169.156	-0.937
18.046	169.239	-0.936
18.055	169.322	-0.936
18.063	169.405	-0.936
18.071	169.489	-0.936
18.080	169.572	-0.936
18.088	169.655	-0.936
18.096	169.738	-0.936
18.105	169.822	-0.936
18.113	169.905	-0.936
18.121	169.989	-0.935
18.130	170.072	-0.935
18.138	170.155	-0.935
18.146	170.238	-0.935
18.155	170.322	-0.935
18.163	170.405	-0.935
18.171	170.489	-0.935
18.180	170.572	-0.935
18.188	170.655	-0.935
18.196	170.739	-0.935
18.205	170.821	-0.935
18.213	170.905	-0.935
18.221	170.988	-0.935
18.230	171.072	-0.934
18.238	171.155	-0.934
18.246	171.238	-0.934
18.255	171.321	-0.934
18.263	171.405	-0.934
18.271	171.489	-0.934
18.280	171.572	-0.934
18.288	171.655	-0.934
18.296	171.738	-0.934
18.305	171.821	-0.934
18.313	171.905	-0.934
18.321	171.989	-0.934
18.330	172.071	-0.933
18.338	172.155	-0.933
18.346	172.239	-0.933
18.355	172.322	-0.933
18.363	172.405	-0.933
18.371	172.488	-0.933
18.380	172.571	-0.933
18.388	172.655	-0.933
18.396	172.738	-0.933
18.405	172.821	-0.933
18.413	172.905	-0.933
18.421	172.988	-0.933
18.430	173.071	-0.932
18.438	173.154	-0.932
18.446	173.238	-0.932
18.455	173.321	-0.932
18.463	173.404	-0.932
18.471	173.488	-0.932
18.480	173.571	-0.932
18.488	173.655	-0.932
18.496	173.738	-0.932
18.505	173.821	-0.931
18.513	173.905	-0.931
18.521	173.988	-0.931
18.530	174.071	-0.931
18.538	174.154	-0.931
18.546	174.237	-0.931
18.555	174.321	-0.931
18.563	174.404	-0.930
18.571	174.488	-0.930
18.580	174.571	-0.930
18.588	174.654	-0.930
18.596	174.737	-0.930
18.605	174.821	-0.930
18.613	174.904	-0.930
18.621	174.988	-0.929
18.630	175.071	-0.929
18.638	175.155	-0.929
18.646	175.238	-0.929
18.655	175.321	-0.929
18.663	175.405	-0.929
18.671	175.488	-0.929
18.680	175.571	-0.928
18.688	175.655	-0.928
18.696	175.738	-0.928
18.705	175.821	-0.928
18.713	175.905	-0.928
18.721	175.987	-0.928
18.730	176.071	-0.928
18.738	176.154	-0.928
18.746	176.238	-0.928
18.755	176.321	-0.927
18.763	176.405	-0.927
18.771	176.488	-0.927
18.780	176.572	-0.927
18.788	176.655	-0.927
18.796	176.738	-0.927
18.805	176.821	-0.927
18.813	176.905	-0.927
18.821	176.988	-0.926
18.830	177.071	-0.926
18.838	177.155	-0.926
18.846	177.238	-0.926
18.855	177.321	-0.926
18.863	177.405	-0.926
18.871	177.488	-0.926
18.880	177.571	-0.925
18.888	177.655	-0.925
18.896	177.738	-0.925
18.905	177.822	-0.925
18.913	177.905	-0.925
18.921	177.988	-0.925
18.930	178.071	-0.925
18.938	178.154	-0.924
18.946	178.238	-0.924
18.955	178.321	-0.924
18.963	178.405	-0.924
18.971	178.488	-0.924
18.980	178.571	-0.924
18.988	178.654	-0.923
18.996	178.738	-0.923
19.005	178.821	-0.923
19.013	178.905	-0.923
19.021	178.988	-0.923
19.030	179.072	-0.923
19.038	179.155	-0.922
19.046	179.238	-0.922
19.055	179.321	-0.922
19.063	179.404	-0.922
19.071	179.489	-0.922
19.080	179.572	-0.922
19.088	179.655	-0.921
19.096	179.739	-0.921
19.105	179.821	-0.921
19.113	179.905	-0.921
19.121	179.988	-0.921
19.130	180.071	-0.921
19.138	180.155	-0.920
19.146	180.238	-0.920
19.155	180.321	-0.920
19.163	180.404	-0.920
19.171	180.488	-0.920
19.180	180.571	-0.919
19.188	180.654	-0.919
19.196	180.738	-0.919
19.205	180.821	-0.919
19.213	180.905	-0.919
19.221	180.988	-0.919
19.230	181.071	-0.918
19.238	181.155	-0.918
19.246	181.238	-0.918
19.255	181.321	-0.918
19.263	181.405	-0.918
19.271	181.488	-0.917
19.280	181.572	-0.917
19.288	181.655	-0.917
19.296	181.738	-0.917
19.305	181.821	-0.917
19.313	181.905	-0.917
19.321	181.988	-0.916
19.330	182.072	-0.916
19.338	182.155	-0.916
19.346	182.238	-0.916
19.355	182.322	-0.916
19.363	182.404	-0.916
19.371	182.488	-0.915
19.380	182.571	-0.915
19.388	182.655	-0.915
19.396	182.738	-0.915
19.405	182.821	-0.915
19.413	182.904	-0.914
19.421	182.988	-0.914
19.430	183.071	-0.914
19.438	183.155	-0.914
19.446	183.238	-0.914
19.455	183.322	-0.914
19.463	183.405	-0.914
19.471	183.488	-0.913
19.480	183.572	-0.913
19.488	183.655	-0.913
19.496	183.738	-0.913
19.505	183.821	-0.913
19.513	183.905	-0.913
19.521	183.988	-0.913
19.530	184.071	-0.912
19.538	184.155	-0.912
19.546	184.238	-0.912
19.555	184.321	-0.912
19.563	184.404	-0.912
19.571	184.488	-0.912
19.580	184.571	-0.911
19.588	184.655	-0.911
19.596	184.738	-0.911
19.605	184.821	-0.911
19.613	184.904	-0.911
19.621	184.987	-0.911
19.630	185.070	-0.910
19.638	185.154	-0.910
19.646	185.237	-0.910
19.655	185.321	-0.910
19.663	185.404	-0.910
19.671	185.487	-0.910
19.680	185.571	-0.909
19.688	185.654	-0.909
19.696	185.737	-0.909
19.705	185.821	-0.909
19.713	185.905	-0.909
19.721	185.987	-0.909
19.730	186.071	-0.909
19.738	186.154	-0.909
19.746	186.238	-0.909
19.755	186.321	-0.909
19.763	186.405	-0.909
19.771	186.488	-0.909
19.780	186.571	-0.908
19.788	186.654	-0.908
19.796	186.738	-0.908
19.805	186.820	-0.908
19.813	186.904	-0.908
19.821	186.988	-0.908
19.830	187.070	-0.908
19.838	187.154	-0.908
19.846	187.237	-0.908
19.855	187.321	-0.908
19.863	187.404	-0.908
19.871	187.487	-0.908
19.880	187.571	-0.908
19.888	187.654	-0.908
19.896	187.737	-0.908
19.905	187.821	-0.908
19.913	187.904	-0.908
19.921	187.987	-0.908
19.930	188.070	-0.908
19.938	188.154	-0.908
19.946	188.237	-0.908
19.955	188.321	-0.908
19.963	188.404	-0.908
19.971	188.487	-0.908
19.980	188.571	-0.908
19.988	188.654	-0.907
19.996	188.737	-0.907
20.005	188.820	-0.907
20.013	188.904	-0.907
20.021	188.987	-0.907
20.030	189.070	-0.907
20.038	189.154	-0.907
20.046	189.238	-0.907
20.055	189.320	-0.907
20.063	189.403	-0.907
20.071	189.487	-0.907
20.080	189.571	-0.907
20.088	189.653	-0.907
20.096	189.737	-0.907
20.105	189.821	-0.907
20.113	189.904	-0.907
20.121	189.987	-0.907
20.130	190.070	-0.907
20.138	190.154	-0.907
20.146	190.237	-0.907
20.155	190.320	-0.907
20.163	190.403	-0.907
20.171	190.487	-0.907
20.180	190.570	-0.907
20.188	190.653	-0.907
20.196	190.737	-0.906
20.205	190.820	-0.906
20.213	190.904	-0.906
20.221	190.987	-0.906
20.230	191.070	-0.906
20.238	191.153	-0.906
20.246	191.237	-0.906
20.255	191.320	-0.906
20.263	191.404	-0.906
20.271	191.486	-0.906
20.280	191.570	-0.906
20.288	191.653	-0.905
20.296	191.737	-0.905
20.305	191.820	-0.905
20.313	191.903	-0.905
20.321	191.986	-0.905
20.330	192.070	-0.905
20.338	192.154	-0.905
20.346	192.237	-0.905
20.355	192.320	-0.905
20.363	192.403	-0.905
20.371	192.487	-0.904
20.380	192.570	-0.904
20.388	192.654	-0.904
20.396	192.736	-0.904
20.405	192.820	-0.904
20.413	192.904	-0.904
20.421	192.987	-0.904
20.430	193.070	-0.903
20.438	193.153	-0.903
20.446	193.237	-0.903
20.455	193.320	-0.903
20.463	193.403	-0.903
20.471	193.486	-0.903
20.480	193.570	-0.903
20.488	193.653	-0.903
20.496	193.737	-0.903
20.505	193.819	-0.902
20.513	193.903	-0.902
20.521	193.986	-0.902
20.530	194.069	-0.902
20.538	194.153	-0.902
20.546	194.237	-0.902
20.555	194.320	-0.902
20.563	194.403	-0.902
20.571	194.486	-0.902
20.580	194.569	-0.901
20.588	194.653	-0.901
20.596	194.736	-0.901
20.605	194.819	-0.901
20.613	194.903	-0.901
20.621	194.986	-0.901
20.630	195.069	-0.901
20.638	195.153	-0.901
20.646	195.236	-0.901
