t/s	U/V
0,000	4,289
0,078	4,283
0,421	4,278
1,700	4,273
5,163	4,268
11,325	4,262
20,903	4,257
34,973	4,252
53,427	4,247
73,441	4,242
93,455	4,238
113,468	4,235
133,482	4,232
153,496	4,229
173,509	4,226
193,524	4,224
213,537	4,221
233,551	4,219
253,565	4,217
273,578	4,215
293,592	4,214
313,606	4,211
333,620	4,210
353,633	4,208
373,647	4,207
393,661	4,205
413,674	4,203
433,688	4,203
453,702	4,201
473,716	4,200
493,729	4,199
513,743	4,198
533,757	4,197
553,771	4,196
573,784	4,194
593,798	4,193
613,812	4,193
633,826	4,192
653,840	4,191
673,853	4,190
693,867	4,189
713,881	4,189
733,894	4,188
753,908	4,187
773,922	4,186
793,936	4,186
813,949	4,186
833,963	4,185
853,977	4,184
873,991	4,184
894,004	4,183
914,018	4,183
934,032	4,182
954,046	4,182
974,059	4,181
994,073	4,181
1014,087	4,181
1034,101	4,180
1054,114	4,180
1074,128	4,179
1094,142	4,179
1114,155	4,179
1134,169	4,179
1154,183	4,178
1174,197	4,178
1194,210	4,178
1214,224	4,178
1234,238	4,177
1254,252	4,177
1274,265	4,177
1294,279	4,177
1314,293	4,176
1334,307	4,176
1354,320	4,175
1374,334	4,175
1394,348	4,175
1414,362	4,175
1434,375	4,175
1454,389	4,174
1474,403	4,174
1494,417	4,174
1514,430	4,174
1534,444	4,174
1554,458	4,174
1574,471	4,174
1594,485	4,173
1614,499	4,173
1634,513	4,173
1654,526	4,173
1674,540	4,173
1694,554	4,173
1714,568	4,172
1734,581	4,172
1754,595	4,172
1774,609	4,172
1794,623	4,172
1814,637	4,172
1834,650	4,172
1854,664	4,171
1874,678	4,171
1894,691	4,171
1914,705	4,171
1934,719	4,171
1954,733	4,171
1974,746	4,170
1994,760	4,171
2014,774	4,170
2034,788	4,170
2054,801	4,170
2074,815	4,170
2094,829	4,170
2114,843	4,170
2134,856	4,170
2154,870	4,170
2174,884	4,170
2194,897	4,170
2214,911	4,170
2234,925	4,169
2254,939	4,169
2274,952	4,169
2294,966	4,169
2314,980	4,169
2334,994	4,169
2355,008	4,169
2375,021	4,169
2395,035	4,169
2415,049	4,169
2435,062	4,169
2455,076	4,169
2475,090	4,168
2495,104	4,168
2515,117	4,168
2535,131	4,169
2555,145	4,168
2575,159	4,168
2595,172	4,168
2615,186	4,168
2635,200	4,168
2655,214	4,168
2675,227	4,168
2695,241	4,168
2715,255	4,168
2735,268	4,168
2755,282	4,168
2775,296	4,168
2795,310	4,167
2815,323	4,167
2835,337	4,167
2855,351	4,167
2875,365	4,167
2895,378	4,167
2915,392	4,167
2935,406	4,167
2955,420	4,167
2975,433	4,167
2995,447	4,167
3015,461	4,167
3035,475	4,167
3055,488	4,167
3075,502	4,166
3095,516	4,167
3115,530	4,166
3135,543	4,166
3155,557	4,166
3175,571	4,166
3195,585	4,166
3215,598	4,166
3235,612	4,166
3255,626	4,166
3275,640	4,166
3295,653	4,166
3315,667	4,166
3335,681	4,166
3355,694	4,166
3375,708	4,166
3395,722	4,166
3415,736	4,166
3435,750	4,166
3455,763	4,165
3475,777	4,166
3495,791	4,166
3515,804	4,166
3535,818	4,166
3555,832	4,165
3575,846	4,165
3595,859	4,166
3615,873	4,165
3635,887	4,165
3655,901	4,165
3675,914	4,165
3695,928	4,166
3715,942	4,165
3735,956	4,165
3755,970	4,165
3775,983	4,165
3795,997	4,165
3816,011	4,165
3836,024	4,165
3856,038	4,165
3876,052	4,165
3896,066	4,165
3916,079	4,165
3936,093	4,165
3956,107	4,165
3976,120	4,165
3996,134	4,165
4016,148	4,165
4036,162	4,165
4056,175	4,165
4076,189	4,165
4096,203	4,165
4116,217	4,165
4136,230	4,165
4156,244	4,165
4176,258	4,165
4196,272	4,165
4216,285	4,165
4236,299	4,165
4256,313	4,165
4276,327	4,165
4296,340	4,165
4316,354	4,165
4336,368	4,165
4356,382	4,165
4376,396	4,165
4396,409	4,164
4416,423	4,164
4436,437	4,164
4456,450	4,164
4476,464	4,164
4496,478	4,164
4516,492	4,164
4536,505	4,164
4556,519	4,165
4576,533	4,164
4596,547	4,165
4616,560	4,164
4636,574	4,164
4656,588	4,164
4676,601	4,164
4696,615	4,164
4716,629	4,164
4736,643	4,164
4756,656	4,164
4776,670	4,164
4796,684	4,164
4816,698	4,164
4836,711	4,164
4856,725	4,164
4876,739	4,164
4896,753	4,163
4916,767	4,164
4936,780	4,164
4956,794	4,164
4976,808	4,164
4996,821	4,163
5016,835	4,164
5036,849	4,164
5056,863	4,164
5076,876	4,164
5096,890	4,163
5116,904	4,164
5136,917	4,164
5156,931	4,163
5176,945	4,164
5196,959	4,163
5216,972	4,164
5236,986	4,163
5257,000	4,163
5277,014	4,163
5297,027	4,163
5317,041	4,163
5337,055	4,163
5357,069	4,163
5377,082	4,163
5397,096	4,163
5417,110	4,163
5437,124	4,163
5457,137	4,163
5477,151	4,163
5497,165	4,163
5517,179	4,163
5537,192	4,163
5557,206	4,163
5577,220	4,163
5597,234	4,163
5617,247	4,163
5637,261	4,163
5657,275	4,163
5677,289	4,163
5697,302	4,163
5717,316	4,163
5737,330	4,163
5757,344	4,163
5777,357	4,163
5797,371	4,163
5817,385	4,163
5837,398	4,163
5857,412	4,163
5877,426	4,163
5897,440	4,163
5917,453	4,163
5937,467	4,162
5957,481	4,163
5977,495	4,163
5997,508	4,163
6017,522	4,162
6037,536	4,163
6057,550	4,163
6077,563	4,162
6097,577	4,162
6117,591	4,162
6137,605	4,162
6157,618	4,163
6177,632	4,163
6197,646	4,163
6217,660	4,162
6237,673	4,163
6257,687	4,162
6277,701	4,162
6297,715	4,162
6317,728	4,162
6337,742	4,162
6357,756	4,162
6377,769	4,162
6397,783	4,162
6417,797	4,162
6437,811	4,162
6457,825	4,162
6477,838	4,162
6497,852	4,162
6517,866	4,162
6537,879	4,162
6557,893	4,162
6577,907	4,162
6597,921	4,162
6617,934	4,162
6637,948	4,162
6657,962	4,162
6677,976	4,162
6697,989	4,162
6718,003	4,162
6738,017	4,161
6758,031	4,162
6778,044	4,161
6798,058	4,162
6818,072	4,162
6838,086	4,161
6858,099	4,162
6878,113	4,162
6898,127	4,162
6918,141	4,161
6938,154	4,161
6958,168	4,161
6978,182	4,162
6998,196	4,162
7018,209	4,161
7038,223	4,162
7058,237	4,161
7078,251	4,161
7098,264	4,162
7118,278	4,161
7138,292	4,161
7158,306	4,161
7178,319	4,161
7198,333	4,161
7218,347	4,161
7238,360	4,161
7258,374	4,161
7278,388	4,161
7298,402	4,161
7318,415	4,161
7338,429	4,161
7358,443	4,161
7378,457	4,161
7398,470	4,161
7418,484	4,161
7438,498	4,161
7458,511	4,161
7478,525	4,161
7498,539	4,161
7518,553	4,161
7538,567	4,161
7558,580	4,161
7578,594	4,161
7598,608	4,161
7618,622	4,161
7638,635	4,161
7658,649	4,161
7678,663	4,161
7698,676	4,161
7718,690	4,161
7738,704	4,161
7758,718	4,161
7778,731	4,161
7798,745	4,161
7818,759	4,161
7838,773	4,161
7858,786	4,161
7878,800	4,161
7898,814	4,161
7918,828	4,161
7938,841	4,161
7958,855	4,160
7978,869	4,161
7998,883	4,161
8018,896	4,160
8038,910	4,161
8058,924	4,160
8078,937	4,160
8098,951	4,160
8118,965	4,160
8138,979	4,160
8158,993	4,160
8179,006	4,160
8199,020	4,160
8219,034	4,160
8239,047	4,160
8259,061	4,160
8279,075	4,160
8299,089	4,160
8319,103	4,160
8339,116	4,160
8359,130	4,160
8379,144	4,160
8399,157	4,160
8419,171	4,160
8439,185	4,160
8459,199	4,160
8479,212	4,160
8499,226	4,160
8519,240	4,160
8539,254	4,160
8559,267	4,160
8579,281	4,160
8599,295	4,160
8619,309	4,160
8639,322	4,160
8659,336	4,160
8679,350	4,160
8699,364	4,160
8719,377	4,160
8739,391	4,160
8759,405	4,160
8779,418	4,160
8799,432	4,160
8819,446	4,159
8839,460	4,160
8859,473	4,159
8879,487	4,160
8899,501	4,160
8919,515	4,159
8939,528	4,160
8959,542	4,160
8979,556	4,159
8999,570	4,159
9019,583	4,159
9039,597	4,159
9059,611	4,160
9079,625	4,159
9099,638	4,159
9119,652	4,159
9139,666	4,159
9159,679	4,159
9179,693	4,159
9199,707	4,159
9219,721	4,159
9239,735	4,159
9259,748	4,159
9279,762	4,159
9299,776	4,159
9319,790	4,159
9339,803	4,159
9359,817	4,159
9379,831	4,159
9399,844	4,159
9419,858	4,159
9439,872	4,158
9459,886	4,158
9479,899	4,159
9499,913	4,158
9519,927	4,158
9539,941	4,159
9559,954	4,158
9579,968	4,158
9599,982	4,158
9619,996	4,158
9640,009	4,158
9660,023	4,158
9680,037	4,158
9700,050	4,158
9720,064	4,158
9740,078	4,158
9760,092	4,158
9780,106	4,158
9800,119	4,158
9820,133	4,158
9840,147	4,158
9860,161	4,158
9880,174	4,158
9900,188	4,157
9920,202	4,158
9940,215	4,158
9960,229	4,158
9980,243	4,158
10000,257	4,158
10020,270	4,157
10040,284	4,158
10060,298	4,158
10080,312	4,157
10100,325	4,158
10120,339	4,157
10140,353	4,157
10160,367	4,157
10180,380	4,157
10200,394	4,157
10220,408	4,157
10240,422	4,157
10260,435	4,157
10280,449	4,157
10300,463	4,157
10320,477	4,157
10340,490	4,157
10360,504	4,157
10380,518	4,157
10400,532	4,157
10420,546	4,157
10440,559	4,157
10460,573	4,157
10480,587	4,157
10500,600	4,157
10520,614	4,157
10540,628	4,157
10560,641	4,157
10580,655	4,157
10600,669	4,157
10620,683	4,157
10640,697	4,157
10660,710	4,157
10680,724	4,157
10700,738	4,157
10720,751	4,157
10740,765	4,156
10760,779	4,156
10780,793	4,156
10800,806	4,156
