t /s	T /C	HF /mw
4.921	50.227	7.534
4.929	50.556	7.501
4.938	50.892	7.467
4.946	51.225	7.435
4.954	51.557	7.404
4.963	51.896	7.372
4.971	52.234	7.340
4.979	52.561	7.312
4.988	52.899	7.281
4.996	53.230	7.253
5.004	53.570	7.224
5.013	53.903	7.196
5.021	54.243	7.168
5.029	54.574	7.141
5.038	54.913	7.112
5.046	55.243	7.086
5.054	55.580	7.058
5.063	55.919	7.029
5.071	56.255	7.001
5.079	56.589	6.974
5.088	56.925	6.947
5.096	57.257	6.921
5.104	57.595	6.893
5.113	57.932	6.865
5.121	58.264	6.839
5.129	58.605	6.811
5.138	58.941	6.785
5.146	59.274	6.759
5.154	59.610	6.732
5.163	59.953	6.705
5.171	60.286	6.679
5.179	60.625	6.652
5.188	60.959	6.627
5.196	61.294	6.602
5.204	61.628	6.577
5.213	61.960	6.553
5.221	62.311	6.524
5.229	62.645	6.500
5.238	62.980	6.475
5.246	63.318	6.450
5.254	63.651	6.427
5.263	63.993	6.401
5.271	64.333	6.376
5.279	64.669	6.352
5.288	65.005	6.329
5.296	65.342	6.305
5.304	65.679	6.281
5.313	66.016	6.258
5.321	66.358	6.234
5.329	66.693	6.211
5.338	67.030	6.188
5.346	67.370	6.164
5.354	67.707	6.141
5.363	68.044	6.119
5.371	68.382	6.096
5.379	68.716	6.074
5.388	69.061	6.050
5.396	69.404	6.026
5.404	69.733	6.006
5.413	70.075	5.982
5.421	70.417	5.959
5.429	70.753	5.938
5.438	71.091	5.916
5.446	71.430	5.893
5.454	71.767	5.872
5.463	72.108	5.849
5.471	72.450	5.826
5.479	72.785	5.805
5.488	73.123	5.784
5.496	73.467	5.761
5.504	73.802	5.740
5.513	74.142	5.718
5.521	74.479	5.698
5.529	74.819	5.677
5.538	75.160	5.655
5.546	75.497	5.634
5.554	75.839	5.613
5.563	76.175	5.594
5.571	76.515	5.574
5.579	76.855	5.554
5.588	77.193	5.535
5.596	77.533	5.515
5.604	77.870	5.496
5.613	78.206	5.478
5.621	78.553	5.457
5.629	78.886	5.439
5.638	79.222	5.421
5.646	79.564	5.402
5.654	79.909	5.382
5.663	80.248	5.364
5.671	80.584	5.346
5.679	80.923	5.328
5.688	81.262	5.310
5.696	81.596	5.293
5.704	81.938	5.275
5.713	82.280	5.257
5.721	82.620	5.239
5.729	82.957	5.222
5.738	83.291	5.206
5.746	83.635	5.188
5.754	83.973	5.171
5.763	84.315	5.154
5.771	84.655	5.137
5.779	84.996	5.120
5.788	85.330	5.104
5.796	85.671	5.087
5.804	86.010	5.071
5.813	86.354	5.053
5.821	86.693	5.037
5.829	87.027	5.022
5.838	87.363	5.006
5.846	87.703	4.989
5.854	88.047	4.973
5.863	88.383	4.957
5.871	88.721	4.942
5.879	89.061	4.926
5.888	89.402	4.910
5.896	89.739	4.894
5.904	90.074	4.880
5.913	90.419	4.863
5.921	90.759	4.847
5.929	91.092	4.833
5.938	91.431	4.817
5.946	91.772	4.801
5.954	92.111	4.786
5.963	92.452	4.770
5.971	92.785	4.757
